Site,Latitude,Longitude,Continent,Vegetation,Plot,FireFreq,FireSeason,FireStart,FireLast,SurveyYear,Duration,Grass Cover,Percent Cover,Percent Basal Cover,Grass Basal Area,Biomass dry ,Grass biomass dry weight (10^3Kgha^-1),Grass Biomass Dry (tonnes/ha),Grass Biomass fresh weight,Grass biomass dry weight (g/m2)
Limestone,34.558498,-111.328313,,,2A,0.5,NOV,1975,2005,2008,,5.615,,,,,,,,
Limestone,34.558498,-111.328313,,,2A,0.5,NOV,1975,2005,2007,,2.91,,,,,,,,
Limestone,34.558498,-111.328313,,,3D,0.5,NOV,1975,2005,2007,,2.68,,,,,,,,
Limestone,34.558498,-111.328313,,,3D,0.5,NOV,1975,2005,2008,,3.265,,,,,,,,
Limestone,34.558498,-111.328313,,,4D,0.5,NOV,1975,2005,2007,,1.625,,,,,,,,
Limestone,34.558498,-111.328313,,,4D,0.5,NOV,1975,2005,2008,,1.055,,,,,,,,
Limestone,34.558498,-111.328313,,,3A,1,NOV,1975,2006,2008,,6.74,,,,,,,,
Limestone,34.558498,-111.328313,,,3A,1,NOV,1975,2006,2007,,3.15,,,,,,,,
Limestone,34.558498,-111.328313,,,4A,1,NOV,1975,2006,2008,,3.38,,,,,,,,
Limestone,34.558498,-111.328313,,,4A,1,NOV,1975,2006,2007,,1.495,,,,,,,,
Limestone,34.558498,-111.328313,,,4B,1,NOV,1975,2006,2008,,4.205,,,,,,,,
Limestone,34.558498,-111.328313,,,4B,1,NOV,1975,2006,2007,,2.53,,,,,,,,
TallTimbers,30.65,-84.2,,,75B,0,CONT,1960,1960,2007,,3.9,,,,,,,,
TallTimbers,30.65,-84.2,,,NB66,0,CONT,1960,1960,2007,,1.8,,,,,,,,
TallTimbers,30.65,-84.2,,,UA,0,CONT,1960,1960,2007,,0.4,,,,,,,,
TallTimbers,30.65,-84.2,,,W4A,0.3138298,FEB-APR,1960,2007,2007,,7.4,,,,,,,,
TallTimbers,30.65,-84.2,,,W4B,0.3138298,FEB-APR,1960,2007,2007,,7.4,,,,,,,,
TallTimbers,30.65,-84.2,,,W4C,0.3138298,FEB-APR,1960,2007,2007,,8.2,,,,,,,,
TallTimbers,30.65,-84.2,,,W3A,0.3333333,FEB-APR,1960,2007,2007,,7,,,,,,,,
TallTimbers,30.65,-84.2,,,W3B,0.3333333,FEB-APR,1960,2007,2007,,5.9,,,,,,,,
TallTimbers,30.65,-84.2,,,W3C,0.3333333,FEB-APR,1960,2007,2007,,4.3,,,,,,,,
TallTimbers,30.65,-84.2,,,W2A,0.5,FEB-APR,1960,2007,2007,,31.1,,,,,,,,
TallTimbers,30.65,-84.2,,,W2B,0.5,FEB-APR,1960,2007,2007,,21.3,,,,,,,,
TallTimbers,30.65,-84.2,,,W2C,0.5,FEB-APR,1960,2007,2007,,22.7,,,,,,,,
TallTimbers,30.65,-84.2,,,W1A,1,FEB-APR,1960,2007,2007,,78.9,,,,,,,,
TallTimbers,30.65,-84.2,,,W1B,1,FEB-APR,1960,2007,2007,,25.9,,,,,,,,
TallTimbers,30.65,-84.2,,,W1C,1,FEB-APR,1960,2007,2007,,23.3,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,1991,1992,,98.6575,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,1991,1992,,98.2353,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,1991,1992,,92.2681,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,1991,1992,,78.4314,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,1991,1992,,99.4048,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,1991,1992,,94.4442,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,1991,1992,,73.0995,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,1991,1992,,74.1575,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,1992,1993,,92.8177,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,1992,1993,,94.3504,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,1992,1993,,93.6275,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,1992,1993,,96.4539,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,1992,1993,,97.2376,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,1992,1993,,82.4468,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,1992,1993,,81.0343,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,1992,1993,,78.0142,,,,,,,,
